id,title,year,country,duration,language,rating,revenue,budget
1,Over the Hill to the Poorhouse,1920.0,USA,110.0,,,3000000.0,100000.0
2,The Big Parade,1925.0,USA,151.0,,Not Rated,,245000.0
3,Metropolis,1927.0,Germany,145.0,German,Not Rated,26435.0,6000000.0
4,Pandora's Box,1929.0,Germany,110.0,German,Not Rated,9950.0,
5,The Broadway Melody,1929.0,USA,100.0,English,Passed,2808000.0,379000.0
6,Hell's Angels,1930.0,USA,96.0,English,Passed,,3950000.0
7,A Farewell to Arms,1932.0,USA,79.0,English,Unrated,,800000.0
8,42nd Street,1933.0,USA,89.0,English,Unrated,2300000.0,439000.0
9,She Done Him Wrong,1933.0,USA,66.0,English,Approved,,200000.0
10,It Happened One Night,1934.0,USA,65.0,English,Unrated,,325000.0
11,Top Hat,1935.0,USA,81.0,English,Approved,3000000.0,609000.0
12,Modern Times,1936.0,USA,87.0,English,G,163245.0,1500000.0
13,The Charge of the Light Brigade,1936.0,USA,100.0,English,Approved,,1200000.0
14,Snow White and the Seven Dwarfs,1937.0,USA,83.0,English,Approved,184925485.0,2000000.0
15,The Prisoner of Zenda,1937.0,USA,101.0,English,Approved,,
16,Alexander's Ragtime Band,1938.0,USA,106.0,English,Approved,,2000000.0
17,You Can't Take It with You,1938.0,USA,126.0,English,Approved,,1644736.0
18,Gone with the Wind,1939.0,USA,226.0,English,G,198655278.0,3977000.0
19,Mr. Smith Goes to Washington,1939.0,USA,120.0,English,Not Rated,,1500000.0
20,The Wizard of Oz,1939.0,USA,102.0,English,Passed,22202612.0,2800000.0
21,Boom Town,1940.0,USA,119.0,English,Passed,,1614000.0
22,Fantasia,1940.0,USA,120.0,English,G,76400000.0,2280000.0
23,Pinocchio,1940.0,USA,88.0,English,Approved,84300000.0,2600000.0
24,Rebecca,1940.0,USA,130.0,English,Not Rated,,1288000.0
25,The Blue Bird,1940.0,USA,83.0,English,Approved,,
26,How Green Was My Valley,1941.0,USA,118.0,English,Approved,,1250000.0
27,Bambi,1942.0,USA,70.0,English,Approved,102797150.0,
28,Casablanca,1942.0,USA,82.0,English,PG,,950000.0
29,A Guy Named Joe,1943.0,USA,122.0,English,Passed,,2627000.0
30,Bathing Beauty,1944.0,USA,101.0,English,Passed,,2361000.0
31,Spellbound,1945.0,USA,95.0,English,Unrated,,1696377.0
32,State Fair,1945.0,USA,100.0,English,Approved,,
33,The Lost Weekend,1945.0,USA,101.0,English,Not Rated,,1250000.0
34,The Valley of Decision,1945.0,USA,119.0,English,Passed,,2160000.0
35,Duel in the Sun,1946.0,USA,144.0,English,Unrated,20400000.0,8000000.0
36,It's a Wonderful Life,1946.0,USA,118.0,English,PG,,3180000.0
37,The Best Years of Our Lives,1946.0,USA,172.0,English,Not Rated,23650000.0,2100000.0
38,Gentleman's Agreement,1947.0,USA,118.0,English,Approved,,2000000.0
39,The Lady from Shanghai,1947.0,USA,92.0,English,Not Rated,7927.0,2300000.0
40,Tycoon,1947.0,USA,95.0,English,Approved,,3209000.0
41,Open Secret,1948.0,USA,68.0,English,Approved,,
42,Red River,1948.0,USA,126.0,English,Approved,,3000000.0
43,The Pirate,1948.0,USA,102.0,English,Approved,2956000.0,3700000.0
44,Sands of Iwo Jima,1949.0,USA,109.0,English,Approved,,1000000.0
45,She Wore a Yellow Ribbon,1949.0,USA,103.0,English,Unrated,,1600000.0
46,Annie Get Your Gun,1950.0,USA,107.0,English,Passed,8000000.0,3768785.0
47,A Streetcar Named Desire,1951.0,USA,125.0,English,PG,,1800000.0
48,Quo Vadis,1951.0,USA,171.0,English,Passed,,7623000.0
49,Show Boat,1951.0,USA,108.0,English,Approved,,2295429.0
50,Deadline - U.S.A.,1952.0,USA,87.0,English,,,
51,High Noon,1952.0,USA,85.0,English,PG,,750000.0
52,Singin' in the Rain,1952.0,USA,103.0,English,Approved,,2540800.0
53,The Greatest Show on Earth,1952.0,USA,152.0,English,Not Rated,36000000.0,4000000.0
54,From Here to Eternity,1953.0,USA,118.0,English,Not Rated,,1650000.0
55,Niagara,1953.0,USA,92.0,English,Approved,,1250000.0
56,"The Beast from 20,000 Fathoms",1953.0,USA,80.0,English,Approved,5000000.0,210000.0
57,The Robe,1953.0,USA,135.0,English,Unrated,36000000.0,5000000.0
58,"20,000 Leagues Under the Sea",1954.0,USA,127.0,English,Approved,,5000000.0
59,"20,000 Leagues Under the Sea",1954.0,USA,127.0,English,Approved,,5000000.0
60,On the Waterfront,1954.0,USA,108.0,English,Not Rated,9600000.0,910000.0
61,Seven Samurai,1954.0,Japan,202.0,Japanese,Unrated,269061.0,2000000.0
62,The Egyptian,1954.0,USA,139.0,English,Approved,,5000000.0
63,Ordet,1955.0,Denmark,126.0,Danish,Not Rated,,
64,The Trouble with Harry,1955.0,USA,99.0,English,Approved,,1200000.0
65,Love Me Tender,1956.0,USA,89.0,English,,,1000000.0
66,Moby Dick,1956.0,USA,115.0,English,Unrated,,4500000.0
67,Trapeze,1956.0,USA,105.0,English,Approved,,4000000.0
68,12 Angry Men,1957.0,USA,96.0,English,Not Rated,,350000.0
69,The Bridge on the River Kwai,1957.0,UK,161.0,English,PG,27200000.0,3000000.0
70,Cat on a Hot Tin Roof,1958.0,USA,108.0,English,Approved,,3000000.0
71,Solomon and Sheba,1959.0,USA,141.0,English,,,5000000.0
72,Some Like It Hot,1959.0,USA,120.0,English,Not Rated,25000000.0,2883848.0
73,The Nun's Story,1959.0,USA,149.0,English,Not Rated,,3500000.0
74,Elmer Gantry,1960.0,USA,146.0,English,Approved,,3000000.0
75,Psycho,1960.0,USA,108.0,English,R,32000000.0,806947.0
76,The Apartment,1960.0,USA,125.0,English,Approved,,3000000.0
77,Judgment at Nuremberg,1961.0,USA,186.0,English,Not Rated,,3000000.0
78,Pocketful of Miracles,1961.0,USA,136.0,English,Approved,,2900000.0
79,The Hustler,1961.0,USA,134.0,English,Unrated,,2000000.0
80,The Misfits,1961.0,USA,120.0,English,Approved,,4000000.0
81,West Side Story,1961.0,USA,152.0,English,Unrated,43650000.0,6000000.0
82,Dr. No,1962.0,UK,110.0,English,Approved,16067035.0,1100000.0
83,Lawrence of Arabia,1962.0,UK,227.0,English,PG,6000000.0,15000000.0
84,Lolita,1962.0,UK,152.0,English,Not Rated,,2000000.0
85,Lolita,1962.0,UK,152.0,English,Not Rated,,2000000.0
86,The Brain That Wouldn't Die,1962.0,USA,70.0,English,Approved,,62000.0
87,The Longest Day,1962.0,USA,178.0,English,G,,10000000.0
88,The Man Who Shot Liberty Valance,1962.0,USA,113.0,English,Approved,,3200000.0
89,To Kill a Mockingbird,1962.0,USA,129.0,English,Not Rated,,2000000.0
90,55 Days at Peking,1963.0,USA,154.0,English,Unrated,,9000000.0
91,Cleopatra,1963.0,UK,251.0,English,Approved,57750000.0,31115000.0
92,Donovan's Reef,1963.0,USA,109.0,English,Not Rated,,2686585.0
93,From Russia with Love,1963.0,UK,115.0,English,Approved,24800000.0,2000000.0
94,Hud,1963.0,USA,112.0,English,Approved,,2500000.0
95,"It's a Mad, Mad, Mad, Mad World",1963.0,USA,197.0,English,Approved,46300000.0,9400000.0
96,The Great Escape,1963.0,USA,172.0,English,Approved,,4000000.0
97,Tom Jones,1963.0,UK,121.0,English,Unrated,,1000000.0
98,A Fistful of Dollars,1964.0,Italy,99.0,Italian,R,3500000.0,200000.0
99,A Hard Day's Night,1964.0,UK,87.0,English,Approved,515005.0,560000.0
100,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0,USA,95.0,English,PG,,1800000.0
101,Goldfinger,1964.0,UK,110.0,English,Approved,51100000.0,3000000.0
102,Mary Poppins,1964.0,USA,139.0,English,Approved,102300000.0,6000000.0
103,My Fair Lady,1964.0,USA,170.0,English,Approved,72000000.0,17000000.0
104,Nothing But a Man,1964.0,USA,95.0,English,Not Rated,12438.0,160000.0
105,The Fall of the Roman Empire,1964.0,USA,172.0,English,Approved,,19000000.0
106,The Train,1964.0,France,133.0,English,Unrated,,6700000.0
107,Une Femme Mari̩e,1964.0,France,94.0,French,,,120000.0
108,Doctor Zhivago,1965.0,USA,200.0,English,PG-13,111722000.0,11000000.0
109,Major Dundee,1965.0,USA,152.0,English,Approved,14873.0,3800000.0
110,Pierrot le Fou,1965.0,France,110.0,French,Not Rated,,300000.0
111,The Greatest Story Ever Told,1965.0,USA,225.0,English,G,8000000.0,20000000.0
112,The Party's Over,1965.0,UK,94.0,English,,,
113,The Sound of Music,1965.0,USA,174.0,English,G,163214286.0,8200000.0
114,Thunderball,1965.0,UK,130.0,English,Approved,63600000.0,9000000.0
115,A Funny Thing Happened on the Way to the Forum,1966.0,USA,99.0,English,Approved,,2000000.0
116,A Man for All Seasons,1966.0,UK,120.0,English,Approved,,2000000.0
117,Batman: The Movie,1966.0,USA,105.0,English,Approved,,1377800.0
118,Harper,1966.0,USA,121.0,English,Not Rated,,3500000.0
119,"The Good, the Bad and the Ugly",1966.0,Italy,142.0,Italian,Approved,6100000.0,1200000.0
120,Torn Curtain,1966.0,USA,128.0,English,Approved,,6000000.0
121,In Cold Blood,1967.0,USA,134.0,English,Approved,,3500000.0
122,Point Blank,1967.0,USA,92.0,English,Approved,,3000000.0
123,The Torture Chamber of Dr. Sadism,1967.0,West Germany,80.0,German,M,,
124,You Only Live Twice,1967.0,UK,117.0,English,Approved,43100000.0,9500000.0
125,2001: A Space Odyssey,1968.0,UK,161.0,English,G,56715371.0,12000000.0
126,Barbarella,1968.0,France,98.0,English,PG,,9000000.0
127,Charly,1968.0,USA,103.0,English,PG,,
128,Hang 'Em High,1968.0,USA,114.0,English,M,,1800000.0
129,Night of the Living Dead,1968.0,USA,96.0,English,Unrated,,114000.0
130,Night of the Living Dead,1968.0,USA,96.0,English,Unrated,,114000.0
131,Oliver!,1968.0,UK,153.0,English,G,16800000.0,10000000.0
132,Once Upon a Time in the West,1968.0,Italy,145.0,English,PG-13,,5000000.0
133,Rosemary's Baby,1968.0,USA,136.0,English,R,,2300000.0
134,Shalako,1968.0,UK,113.0,English,PG,,1455000.0
135,"Yours, Mine and Ours",1968.0,USA,111.0,English,Unrated,,2500000.0
136,Butch Cassidy and the Sundance Kid,1969.0,USA,110.0,English,M,102308900.0,6000000.0
137,Machine Gun McCain,1969.0,Italy,96.0,English,GP,,
138,Midnight Cowboy,1969.0,USA,113.0,English,X,,3600000.0
139,Mississippi Mermaid,1969.0,France,123.0,French,R,26893.0,1600000.0
